Country,Country sp,Deaths,EW,Fips,ISO3166Alpha2,ISO3166Alpha3,Code,Iso3166,Lab Confirm,Last Available EpiWeek,Number of Records,PAHO Code Num,PAHO Code,Population,RegionLvl0,RegionLvl1,RegionLvl2,RegionLvl3,Region,Serotype,Severe Dengue,Suspected,TIS,Type,W Pais,Year
Brazil,Brasil,3,1,BR,BR,BRA,76,76,623,1,1,430,BRA,209288,AMR,LAC,SAR,LAM,BRA,"DEN 1,2,3,4",6,4203,BRA,Preliminar,BRA,2017
United States of America,Estados Unidos de América,0,48,US,US,USA,840,840,961,48,1,480,USA,324119,AMR,NAR,NAR,NAR,NAR,UNKNOWN,0,961,USA,Final,USA,2016
United States of America,Estados Unidos de América,0,49,US,US,USA,840,840,969,49,1,480,USA,324119,AMR,NAR,NAR,NAR,NAR,UNKNOWN,0,969,USA,Final,USA,2016
United States of America,Estados Unidos de América,0,50,US,US,USA,840,840,974,50,1,480,USA,324119,AMR,NAR,NAR,NAR,NAR,UNKNOWN,0,974,USA,Final,USA,2016
United States of America,Estados Unidos de América,0,51,US,US,USA,840,840,982,51,1,480,USA,324119,AMR,NAR,NAR,NAR,NAR,UNKNOWN,0,982,USA,Final,USA,2016
Mexico,México,1,17,MX,MX,MEX,484,484,301,17,1,466,MEX,128632,AMR,LAC,CAI,LAM,MEX,"DEN 1,2,3,4",846,23888,MEX,Final,MEX,2016
Mexico,México,1,18,MX,MX,MEX,484,484,3429,18,1,466,MEX,128632,AMR,LAC,CAI,LAM,MEX,"DEN 1,2,3,4",864,24783,MEX,Final,MEX,2016
Mexico,México,10,34,MX,MX,MEX,484,484,7497,34,1,466,MEX,128632,AMR,LAC,CAI,LAM,MEX,"DEN 1,2,3,4",474,62021,MEX,Final,MEX,2016
Mexico,México,11,41,MX,MX,MEX,484,484,12108,41,1,466,MEX,128632,AMR,LAC,CAI,LAM,MEX,"DEN 1,2,3,4",627,99759,MEX,Final,MEX,2016
Puerto Rico,Puerto Rico,0,31,RQ,PR,PRI,630,630,180,31,1,475,PUR,3681,AMR,LAC,LCR,LAM,LCR,"DEN 1,2,3,4",0,180,PUR,Final,PRI,2016
Virgin Islands (US),Islas Vírgenes (EUA),0,41,VQ,VI,VIR,850,850,3,41,1,483,VIS,104,AMR,LAC,NLC,CAR,NLC,UNKNOWN,0,3,VUS,final,VIS,2015
Virgin Islands (US),Islas Vírgenes (EUA),0,42,VQ,VI,VIR,850,850,3,42,1,483,VIS,104,AMR,LAC,NLC,CAR,NLC,UNKNOWN,0,3,VUS,final,VIS,2015
Virgin Islands (US),Islas Vírgenes (EUA),0,43,VQ,VI,VIR,850,850,3,43,1,483,VIS,104,AMR,LAC,NLC,CAR,NLC,UNKNOWN,0,3,VUS,final,VIS,2015
Virgin Islands (US),Islas Vírgenes (EUA),0,44,VQ,VI,VIR,850,850,3,44,1,483,VIS,104,AMR,LAC,NLC,CAR,NLC,UNKNOWN,0,3,VUS,final,VIS,2015
Virgin Islands (US),Islas Vírgenes (EUA),0,45,VQ,VI,VIR,850,850,3,45,1,483,VIS,104,AMR,LAC,NLC,CAR,NLC,UNKNOWN,0,3,VUS,final,VIS,2015
Virgin Islands (US),Islas Vírgenes (EUA),0,46,VQ,VI,VIR,850,850,3,46,1,483,VIS,104,AMR,LAC,NLC,CAR,NLC,UNKNOWN,0,3,VUS,final,VIS,2015
Virgin Islands (US),Islas Vírgenes (EUA),0,47,VQ,VI,VIR,850,850,3,47,1,483,VIS,104,AMR,LAC,NLC,CAR,NLC,UNKNOWN,0,3,VUS,final,VIS,2015
