Country,Country sp,Deaths,EW,Fips,ISO3166Alpha2,ISO3166Alpha3,Code,Iso3166,Lab Confirm,Last Available EpiWeek,Number of Records,PAHO Code Num,PAHO Code,Population,RegionLvl0,RegionLvl1,RegionLvl2,RegionLvl3,Region,Serotype,Severe Dengue,Suspected,TIS,Type,W Pais,Year
United States of America,Estados Unidos de América,0,52,US,US,USA,840,840,990,52,1,480,USA,324119,AMR,NAR,NAR,NAR,NAR,UNKNOWN,0,990,USA,Final,USA,2016
Virgin Islands (US),Islas Vírgenes (EUA),0,52,VQ,VI,VIR,850,850,3,52,1,483,VIS,104,AMR,LAC,NLC,CAR,NLC,UNKNOWN,0,3,VUS,final,VIS,2015
Argentina,Argentina,0,52,AR,AR,ARG,32,32,37,11,1,425,ARG,44271,AMR,LAC,SAR,LAM,SCR,DEN 1,0,83,ARG,Preliminar,ARG,2018
Aruba,Aruba,0,52,AA,AW,ABW,533,533,4,4,1,533,ARU,115,AMR,LAC,NLC,CAR,NLC,UNKNOWN,0,4,ARU,Preliminar,ABW,2018
Bahamas,Bahamas,0,52,BF,BS,BHS,44,44,0,4,1,426,BAH,395,AMR,LAC,NLC,CAR,NLC,UNKNOWN,0,3,BAH,Preliminar,BHS,2018
Barbados,Barbados,0,52,BB,BB,BRB,52,52,0,4,1,427,BAR,292,AMR,LAC,NLC,CAR,NLC,,0,0,BAR,Preliminar,BRB,2018
Bermuda,Bermuda,0,52,BD,BM,BMU,60,60,0,8,1,429,BER,71,AMR,NAR,NLC,NAR,NAR,,0,0,BER,Preliminar,BMU,2018
Brazil,Brasil,2,52,BR,BR,BRA,76,76,1430,8,1,430,BRA,209288,AMR,LAC,SAR,LAM,BRA,UNKNOWN,13,38043,BRA,Preliminar,BRA,2018
Canada,Canadá,0,52,CA,CA,CAN,124,124,0,52,1,437,CAN,0,AMR,NAR,NAR,NAR,NAR,,0,0,CAN,Preliminar,CAN,2017
United States of America,Estados Unidos de América,0,52,US,US,USA,840,840,348,52,1,480,USA,324460,AMR,NAR,NAR,NAR,NAR,UNKNOWN,0,348,USA,Preliminar,USA,2017
Costa Rica,Costa Rica,0,52,CS,CR,CRI,188,188,,52,1,443,COR,4906,AMR,LAC,CAI,LAM,CAI,"DEN 1,2",0,5561,COR,final,CRI,2017
El Salvador,El Salvador,0,52,ES,SV,SLV,222,222,232,52,1,453,ELS,6378,AMR,LAC,CAI,LAM,CAI,DEN 2,7,4300,ELS,Preliminar,SLV,2017
Guatemala,Guatemala,14,52,GT,GT,GTM,320,320,1378,49,1,458,GUT,16914,AMR,LAC,CAI,LAM,CAI,"DEN 1,2,3,4",71,4116,GUT,Preliminar,GTM,2017
Honduras,Honduras,0,52,HO,HN,HND,340,340,0,52,1,462,HON,9265,AMR,LAC,CAI,LAM,CAI,"DEN 1,2,3",126,5217,HON,Preliminar,HND,2017
Mexico,México,34,52,MX,MX,MEX,484,484,14138,52,1,466,MEX,129163,AMR,LAC,CAI,LAM,MEX,"DEN 1,2,3",375,89893,MEX,Preliminar,MEX,2017
Nicaragua,Nicaragua,2,52,NU,NI,NIC,558,558,2511,52,1,468,NIC,6218,AMR,LAC,CAI,LAM,CAI,DEN 2,,64712,NIC,Preliminar,NIC,2017
Panama,Panamá,1,52,PM,PA,PAN,591,591,4490,51,1,470,PAN,4099,AMR,LAC,CAI,LAM,CAI,"DEN 1,2,3",21,9225,PAN,Preliminar,PAN,2017
Bolivia,Bolivia,2,52,BL,BO,BOL,68,68,917,52,1,428,BOL,11052,AMR,LAC,SAR,LAM,ANR,"DEN 1,4",46,9938,BOL,Preliminar,BOL,2017
Colombia,Colombia,15,52,CO,CO,COL,170,170,6784,52,1,441,COL,49066,AMR,LAC,SAR,LAM,ANR,"DEN 1,2,3,4",286,26279,COL,Preliminar,COL,2017
Ecuador,Ecuador,4,52,EC,EC,ECU,218,218,11387,52,1,451,ECU,16625,AMR,LAC,SAR,LAM,ANR,UNKNOWN,18,11387,ECU,Preliminar,ECU,2017
Peru,Perú,76,52,PE,PE,PER,604,604,27241,52,1,474,PER,32165,AMR,LAC,SAR,LAM,ANR,"DEN 2,3",251,76093,PER,Preliminar,PER,2017
Venezuela,Venezuela,16,52,VE,VE,VEN,862,862,1588,52,1,484,VEN,31977,AMR,LAC,SAR,LAM,ANR,DEN 1,359,8615,VEN,Preliminar,VEN,2017
Argentina,Argentina,0,52,AR,AR,ARG,32,32,254,52,1,425,ARG,44271,AMR,LAC,SAR,LAM,SCR,"DEN 1,3",0,557,ARG,Preliminar,ARG,2017
Belize,Belice,0,52,BH,BZ,BLZ,84,84,509,52,1,434,BEL,348,AMR,LAC,CAI,LAM,CAI,DEN 2,116,5366,BLZ,Final,BLZ,2015
Chile,Chile,0,52,CI,CL,CHL,152,152,10,38,1,439,CHI,18055,AMR,LAC,SAR,LAM,SCR,"DEN 1,3",0,10,CHI,Preliminar,CHL,2017
Ecuador,Ecuador,0,52,EC,EC,ECU,218,218,1059,12,1,451,ECU,16625,AMR,LAC,SAR,LAM,ANR,UNKNOWN,1,1059,ECU,Preliminar,ECU,2018
Virgin Islands (UK),Islas Vírgenes (RU),0,52,VI,VG,VGB,92,92,0,8,1,436,VIK,35,AMR,LAC,NLC,CAR,NLC,,0,0,VIB,Preliminar,VIR,2018
Canada,Canadá,0,52,CA,CA,CAN,124,124,0,13,1,437,CAN,0,AMR,NAR,NAR,NAR,NAR,,0,0,CAN,Preliminar,CAN,2018
