Case Fatality Rate Percent,Code,Country,Cases,Muertes,Pais o territorio,Tipo,Year vwPopulation per year,Year
0,28,Antigua and Barbuda,1,0,Antigua y Barbuda,Final,1991,1991
0,28,Antigua and Barbuda,0,0,Antigua y Barbuda,Final,1992,1992
0,28,Antigua and Barbuda,0,0,Antigua y Barbuda,Final,1993,1993
0,28,Antigua and Barbuda,0,0,Antigua y Barbuda,Final,1994,1994
0,28,Antigua and Barbuda,56,0,Antigua y Barbuda,Final,1995,1995
0,28,Antigua and Barbuda,12,0,Antigua y Barbuda,Final,1996,1996
0,28,Antigua and Barbuda,7,0,Antigua y Barbuda,Final,1997,1997
0,28,Antigua and Barbuda,4,0,Antigua y Barbuda,Final,1998,1998
0,28,Antigua and Barbuda,2,0,Antigua y Barbuda,Final,1999,1999
0,28,Antigua and Barbuda,8,0,Antigua y Barbuda,Final,2000,2000
0,28,Antigua and Barbuda,20,0,Antigua y Barbuda,Final,2001,2001
0,28,Antigua and Barbuda,5,0,Antigua y Barbuda,Final,2002,2002
0,28,Antigua and Barbuda,0,0,Antigua y Barbuda,Final,2003,2003
0,28,Antigua and Barbuda,0,0,Antigua y Barbuda,Final,2004,2004
0,28,Antigua and Barbuda,0,0,Antigua y Barbuda,Final,2005,2005
0,28,Antigua and Barbuda,0,0,Antigua y Barbuda,Final,2006,2006
0,28,Antigua and Barbuda,0,0,Antigua y Barbuda,Final,2007,2007
0,28,Antigua and Barbuda,17,0,Antigua y Barbuda,Final,2008,2008
0,28,Antigua and Barbuda,2,0,Antigua y Barbuda,Final,2009,2009
0,28,Antigua and Barbuda,3,0,Antigua y Barbuda,Final,2010,2010
0,28,Antigua and Barbuda,7,0,Antigua y Barbuda,Final,2011,2011
0,28,Antigua and Barbuda,10,0,Antigua y Barbuda,Final,2012,2012
0,28,Antigua and Barbuda,3,0,Antigua y Barbuda,Final,2013,2013
0,28,Antigua and Barbuda,37,0,Antigua y Barbuda,Final,2014,2014
0,32,Argentina,0,0,Argentina,Final,1980,1980
0,32,Argentina,0,0,Argentina,Final,1981,1981
0,32,Argentina,0,0,Argentina,Final,1982,1982
0,32,Argentina,0,0,Argentina,Final,1983,1983
0,32,Argentina,0,0,Argentina,Final,1984,1984
0,32,Argentina,0,0,Argentina,Final,1985,1985
0,32,Argentina,0,0,Argentina,Final,1986,1986
0,32,Argentina,0,0,Argentina,Final,1987,1987
0,32,Argentina,0,0,Argentina,Final,1988,1988
0,32,Argentina,0,0,Argentina,Final,1989,1989
0,32,Argentina,0,0,Argentina,Final,1990,1990
0,32,Argentina,0,0,Argentina,Final,1991,1991
0,32,Argentina,0,0,Argentina,Final,1992,1992
0,32,Argentina,0,0,Argentina,Final,1993,1993
0,32,Argentina,0,0,Argentina,Final,1994,1994
0,32,Argentina,0,0,Argentina,Final,1995,1995
0,32,Argentina,0,0,Argentina,Final,1996,1996
0,32,Argentina,0,0,Argentina,Final,1997,1997
0,32,Argentina,822,0,Argentina,Final,1998,1998
0,32,Argentina,3,0,Argentina,Final,1999,1999
0,32,Argentina,1700,0,Argentina,Final,2000,2000
0,32,Argentina,11,0,Argentina,Final,2001,2001
0,32,Argentina,214,0,Argentina,Final,2002,2002
0,32,Argentina,135,0,Argentina,Final,2003,2003
0,32,Argentina,3284,0,Argentina,Final,2004,2004
0,32,Argentina,34,0,Argentina,Final,2005,2005
0,32,Argentina,181,0,Argentina,Final,2006,2006
0,32,Argentina,173,0,Argentina,Final,2007,2007
0,32,Argentina,40,0,Argentina,Final,2008,2008
0.02,32,Argentina,26606,5,Argentina,Final,2009,2009
