Mortality rate per 100000 pop,CountryISO vwPopulation per year,Country ISO,Country,Dengue Tot,Dengue,Dgrave,Deaths,Number of Records,Pais,PopFemale vwPopulation per year,PopMale vwPopulation per year,Population,Tipo,Year vwPopulation per year,Year
0,28,28,Antigua and Barbuda,1,1,0,0,1,Antigua y Barbuda,33171,30854,64025,Final,1991,1991
0,28,28,Antigua and Barbuda,0,0,0,0,1,Antigua y Barbuda,33802,31379,65181,Final,1992,1992
0,28,28,Antigua and Barbuda,0,0,0,0,1,Antigua y Barbuda,34430,31901,66331,Final,1993,1993
0,28,28,Antigua and Barbuda,0,0,0,0,1,Antigua y Barbuda,35060,32425,67485,Final,1994,1994
0,28,28,Antigua and Barbuda,56,56,0,0,1,Antigua y Barbuda,35723,32987,68710,Final,1995,1995
0,28,28,Antigua and Barbuda,12,12,0,0,1,Antigua y Barbuda,36445,33610,70055,Final,1996,1996
0,28,28,Antigua and Barbuda,7,7,0,0,1,Antigua y Barbuda,37193,34260,71453,Final,1997,1997
0,28,28,Antigua and Barbuda,4,4,0,0,1,Antigua y Barbuda,37907,34874,72781,Final,1998,1998
0,28,28,Antigua and Barbuda,2,2,0,0,1,Antigua y Barbuda,38575,35441,74016,Final,1999,1999
0,28,28,Antigua and Barbuda,8,8,0,0,1,Antigua y Barbuda,39292,36059,75351,Final,2000,2000
0,28,28,Antigua and Barbuda,20,20,0,0,1,Antigua y Barbuda,40034,36700,76734,Final,2001,2001
0,28,28,Antigua and Barbuda,5,5,0,0,1,Antigua y Barbuda,40688,37247,77935,Final,2002,2002
0,28,28,Antigua and Barbuda,0,0,0,0,1,Antigua y Barbuda,41308,37758,79066,Final,2003,2003
0,28,28,Antigua and Barbuda,0,0,0,0,1,Antigua y Barbuda,41924,38269,80193,Final,2004,2004
0,28,28,Antigua and Barbuda,0,0,0,0,1,Antigua y Barbuda,42518,38759,81277,Final,2005,2005
0,28,28,Antigua and Barbuda,0,0,0,0,1,Antigua y Barbuda,43105,39238,82343,Final,2006,2006
0,28,28,Antigua and Barbuda,0,0,0,0,1,Antigua y Barbuda,43701,39724,83425,Final,2007,2007
0,28,28,Antigua and Barbuda,17,17,0,0,1,Antigua y Barbuda,44306,40216,84522,Final,2008,2008
0,28,28,Antigua and Barbuda,2,0,2,0,1,Antigua y Barbuda,44919,40713,85632,Final,2009,2009
0,28,28,Antigua and Barbuda,3,3,0,0,1,Antigua y Barbuda,45539,41215,86754,Final,2010,2010
0,28,28,Antigua and Barbuda,7,7,0,0,1,Antigua y Barbuda,46163,41721,87884,Final,2011,2011
0,28,28,Antigua and Barbuda,10,10,0,0,1,Antigua y Barbuda,46790,42228,89018,Final,2012,2012
0,28,28,Antigua and Barbuda,3,3,0,0,1,Antigua y Barbuda,47419,42737,90156,Final,2013,2013
0,28,28,Antigua and Barbuda,37,37,0,0,1,Antigua y Barbuda,48049,43246,91295,Final,2014,2014
0,28,28,Antigua and Barbuda,37,37,0,0,1,Antigua y Barbuda,48049,43246,91295,Preliminar,2014,2014
0,28,28,Antigua and Barbuda,14,14,0,0,1,Antigua y Barbuda,48680,43756,92436,Preliminar,2015,2015
0,28,28,Antigua and Barbuda,103,103,0,0,1,Antigua y Barbuda,49314,44267,93581,Preliminar,2016,2016
0,28,28,Antigua and Barbuda,1,1,0,0,1,Antigua y Barbuda,49950,44781,94731,Preliminar,2017,2017
0,28,28,Antigua and Barbuda,1,1,0,0,1,Antigua y Barbuda,50587,45295,95882,Preliminar,2018,2018
0,32,32,Argentina,0,0,0,0,1,Argentina,14245109,13860780,28105889,Final,1980,1980
0,32,32,Argentina,0,0,0,0,1,Argentina,14484327,14059039,28543366,Final,1981,1981
0,32,32,Argentina,0,0,0,0,1,Argentina,14723642,14270347,28993989,Final,1982,1982
0,32,32,Argentina,0,0,0,0,1,Argentina,14963678,14491061,29454739,Final,1983,1983
0,32,32,Argentina,0,0,0,0,1,Argentina,15205406,14715501,29920907,Final,1984,1984
0,32,32,Argentina,0,0,0,0,1,Argentina,15449378,14939403,30388781,Final,1985,1985
0,32,32,Argentina,0,0,0,0,1,Argentina,15695671,15161571,30857242,Final,1986,1986
0,32,32,Argentina,0,0,0,0,1,Argentina,15943542,15382931,31326473,Final,1987,1987
0,32,32,Argentina,0,0,0,0,1,Argentina,16191720,15603795,31795515,Final,1988,1988
0,32,32,Argentina,0,0,0,0,1,Argentina,16438496,15825063,32263559,Final,1989,1989
0,32,32,Argentina,0,0,0,0,1,Argentina,16682537,16047203,32729740,Final,1990,1990
0,32,32,Argentina,0,0,0,0,1,Argentina,16923559,16270361,33193920,Final,1991,1991
0,32,32,Argentina,0,0,0,0,1,Argentina,17161585,16493564,33655149,Final,1992,1992
0,32,32,Argentina,0,0,0,0,1,Argentina,17396006,16714906,34110912,Final,1993,1993
0,32,32,Argentina,0,0,0,0,1,Argentina,17626205,16931909,34558114,Final,1994,1994
0,32,32,Argentina,0,0,0,0,1,Argentina,17851866,17142952,34994818,Final,1995,1995
0,32,32,Argentina,0,0,0,0,1,Argentina,18072581,17347102,35419683,Final,1996,1996
0,32,32,Argentina,0,0,0,0,1,Argentina,18288722,17545243,35833965,Final,1997,1997
0,32,32,Argentina,822,822,0,0,1,Argentina,18501759,17739819,36241578,Final,1998,1998
0,32,32,Argentina,3,3,0,0,1,Argentina,18713724,17934330,36648054,Final,1999,1999
0,32,32,Argentina,1700,1700,0,0,1,Argentina,18926131,18131322,37057453,Final,2000,2000
0,32,32,Argentina,11,11,0,0,1,Argentina,19139695,18331840,37471535,Final,2001,2001
0,32,32,Argentina,214,214,0,0,1,Argentina,19354197,18535246,37889443,Final,2002,2002
0,32,32,Argentina,135,135,0,0,1,Argentina,19569093,18740382,38309475,Final,2003,2003
0,32,32,Argentina,3284,3284,0,0,1,Argentina,19783420,18945358,38728778,Final,2004,2004
0,32,32,Argentina,34,34,0,0,1,Argentina,19996580,19148911,39145491,Final,2005,2005
0,32,32,Argentina,181,181,0,0,1,Argentina,20208231,19350519,39558750,Final,2006,2006
0,32,32,Argentina,173,173,0,0,1,Argentina,20418920,19550983,39969903,Final,2007,2007
0,32,32,Argentina,40,40,0,0,1,Argentina,20629960,19751900,40381860,Final,2008,2008
0.01,32,32,Argentina,26606,26600,6,5,1,Argentina,20843136,19955505,40798641,Final,2009,2009
0,32,32,Argentina,1185,1185,0,0,1,Argentina,21059599,20163276,41222875,Final,2010,2010
0,32,32,Argentina,213,213,0,0,1,Argentina,21279847,20375769,41655616,Final,2011,2011
0,32,32,Argentina,2803,2803,0,0,1,Argentina,21503116,20592108,42095224,Final,2012,2012
0,32,32,Argentina,9294,9294,0,0,1,Argentina,21727725,20810579,42538304,Final,2013,2013
0,32,32,Argentina,1714,1714,0,0,1,Argentina,21951299,21028727,42980026,Preliminar,2014,2014
0,32,32,Argentina,3270,3270,0,0,1,Argentina,21951299,21028727,42980026,Final,2014,2014
0,32,32,Argentina,4774,4774,0,0,1,Argentina,22172053,21244702,43416755,Preliminar,2015,2015
0.02,32,32,Argentina,79455,79455,0,10,1,Argentina,22389381,21457896,43847277,Final,2016,2016
0,32,32,Argentina,557,557,0,0,1,Argentina,22603547,21668578,44272125,Preliminar,2017,2017
0,32,32,Argentina,83,83,0,0,1,Argentina,22814685,21876832,44691517,Preliminar,2018,2018
0,44,44,Bahamas,0,0,0,0,1,Bahamas,106079,104581,210660,Final,1980,1980
0,44,44,Bahamas,0,0,0,0,1,Bahamas,108377,107027,215404,Final,1981,1981
0,44,44,Bahamas,0,0,0,0,1,Bahamas,110826,109449,220275,Final,1982,1982
0,44,44,Bahamas,0,0,0,0,1,Bahamas,113353,111832,225185,Final,1983,1983
0,44,44,Bahamas,0,0,0,0,1,Bahamas,115850,114166,230016,Final,1984,1984
0,44,44,Bahamas,0,0,0,0,1,Bahamas,118241,116443,234684,Final,1985,1985
0,44,44,Bahamas,0,0,0,0,1,Bahamas,120493,118639,239132,Final,1986,1986
0,44,44,Bahamas,0,0,0,0,1,Bahamas,122637,120754,243391,Final,1987,1987
0,44,44,Bahamas,0,0,0,0,1,Bahamas,124739,122837,247576,Final,1988,1988
0,44,44,Bahamas,87,87,0,0,1,Bahamas,126896,124959,251855,Final,1989,1989
0,44,44,Bahamas,2,2,0,0,1,Bahamas,129175,127163,256338,Final,1990,1990
0,44,44,Bahamas,0,0,0,0,1,Bahamas,131614,129503,261117,Final,1991,1991
0,44,44,Bahamas,0,0,0,0,1,Bahamas,134183,131950,266133,Final,1992,1992
0,44,44,Bahamas,0,0,0,0,1,Bahamas,136799,134366,271165,Final,1993,1993
0,44,44,Bahamas,0,0,0,0,1,Bahamas,139346,136557,275903,Final,1994,1994
0,44,44,Bahamas,1,1,0,0,1,Bahamas,141746,138405,280151,Final,1995,1995
0,44,44,Bahamas,0,0,0,0,1,Bahamas,143959,139833,283792,Final,1996,1996
0,44,44,Bahamas,0,0,0,0,1,Bahamas,146035,140933,286968,Final,1997,1997
0,44,44,Bahamas,336,336,0,0,1,Bahamas,148094,141960,290054,Final,1998,1998
0,44,44,Bahamas,0,0,0,0,1,Bahamas,150307,143265,293572,Final,1999,1999
0,44,44,Bahamas,0,0,0,0,1,Bahamas,152794,145097,297891,Final,2000,2000
0,44,44,Bahamas,0,0,0,0,1,Bahamas,155592,147546,303138,Final,2001,2001
0,44,44,Bahamas,0,0,0,0,1,Bahamas,158652,150518,309170,Final,2002,2002
0,44,44,Bahamas,180,180,0,0,1,Bahamas,161901,153856,315757,Final,2003,2003
0,44,44,Bahamas,1,1,0,0,1,Bahamas,165225,157314,322539,Final,2004,2004
0,44,44,Bahamas,0,0,0,0,1,Bahamas,168536,160707,329243,Final,2005,2005
0,44,44,Bahamas,1,1,0,0,1,Bahamas,171812,163989,335801,Final,2006,2006
0,44,44,Bahamas,0,0,0,0,1,Bahamas,175061,167198,342259,Final,2007,2007
0,44,44,Bahamas,1,1,0,0,1,Bahamas,178261,170326,348587,Final,2008,2008
0,44,44,Bahamas,1,0,1,0,1,Bahamas,181393,173387,354780,Final,2009,2009
1.11,44,44,Bahamas,10,10,0,4,1,Bahamas,184441,176389,360830,Final,2010,2010
0,44,44,Bahamas,6997,6994,3,0,1,Bahamas,187392,179319,366711,Final,2011,2011
0,44,44,Bahamas,3,3,0,0,1,Bahamas,190236,182152,372388,Final,2012,2012
0,44,44,Bahamas,3,3,0,0,1,Bahamas,192965,184876,377841,Final,2013,2013
0,44,44,Bahamas,136,136,0,0,1,Bahamas,195574,187480,383054,Final,2014,2014
0,44,44,Bahamas,146,146,0,0,1,Bahamas,195574,187480,383054,Preliminar,2014,2014
0,44,44,Bahamas,10,10,0,0,1,Bahamas,198062,189957,388019,Preliminar,2015,2015
0,44,44,Bahamas,82,82,0,0,1,Bahamas,200421,192297,392718,Preliminar,2016,2016
0,44,44,Bahamas,14,14,0,0,1,Bahamas,202656,194508,397164,Preliminar,2017,2017
0,44,44,Bahamas,3,3,0,0,1,Bahamas,204795,196617,401412,Preliminar,2018,2018
0,52,52,Barbados,0,0,0,0,1,Barbados,132670,119296,251966,Final,1980,1980
0,52,52,Barbados,6,6,0,0,1,Barbados,132680,119681,252361,Final,1981,1981
0,52,52,Barbados,99,99,0,0,1,Barbados,133074,120401,253475,Final,1982,1982
0,52,52,Barbados,63,63,0,0,1,Barbados,133629,121218,254847,Final,1983,1983
0,52,52,Barbados,63,63,0,0,1,Barbados,134089,122025,256114,Final,1984,1984
0,52,52,Barbados,0,0,0,0,1,Barbados,134471,122776,257247,Final,1985,1985
0,52,52,Barbados,0,0,0,0,1,Barbados,134892,123373,258265,Final,1986,1986
0,52,52,Barbados,78,78,0,0,1,Barbados,135234,123890,259124,Final,1987,1987
0,52,52,Barbados,10,10,0,0,1,Barbados,135507,124446,259953,Final,1988,1988
0,52,52,Barbados,45,45,0,0,1,Barbados,135937,125155,261092,Final,1989,1989
0,52,52,Barbados,236,236,0,0,1,Barbados,136397,125867,262264,Final,1990,1990
0,52,52,Barbados,21,21,0,0,1,Barbados,136810,126526,263336,Final,1991,1991
0,52,52,Barbados,4,4,0,0,1,Barbados,137344,127260,264604,Final,1992,1992
0,52,52,Barbados,1,1,0,0,1,Barbados,137811,127888,265699,Final,1993,1993
0,52,52,Barbados,0,0,0,0,1,Barbados,138184,128446,266630,Final,1994,1994
0.37,52,52,Barbados,974,972,2,1,1,Barbados,138603,129064,267667,Final,1995,1995
0,52,52,Barbados,130,130,0,0,1,Barbados,139101,129709,268810,Final,1996,1996
0.74,52,52,Barbados,196,193,3,2,1,Barbados,139668,130394,270062,Final,1997,1997
0,52,52,Barbados,852,852,0,0,1,Barbados,140229,131065,271294,Final,1998,1998
1.47,52,52,Barbados,688,680,8,4,1,Barbados,140779,131725,272504,Final,1999,1999
0,52,52,Barbados,744,744,0,0,1,Barbados,141355,132325,273680,Final,2000,2000
0,52,52,Barbados,1029,1015,14,0,1,Barbados,141980,132926,274906,Final,2001,2001
0,52,52,Barbados,740,740,0,0,1,Barbados,142659,133559,276218,Final,2002,2002
0,52,52,Barbados,557,557,0,0,1,Barbados,143334,134213,277547,Final,2003,2003
